№	Вердикт	Ресурсы	Баллы
	1	ok	155ms / 10.80Mb	-
	2	ok	160ms / 11.01Mb	-
	3	ok	160ms / 10.99Mb	-
	4	ok	160ms / 10.96Mb	-
	5	ok	159ms / 10.99Mb	-
	6	ok	159ms / 10.96Mb	-
	7	ok	159ms / 11.00Mb	-
	8	ok	159ms / 11.00Mb	-
	9	ok	160ms / 10.93Mb	-
	10	ok	160ms / 10.98Mb	-
	11	ok	160ms / 10.92Mb	-
	12	ok	159ms / 10.99Mb	-
